,model,graph,n,p,pr,eps,gam,max_it,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr,avg_nit,std_nit
0,triangles rewiring,er,250,0.1,0.0,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.1532063703812785,0.2263081844117109,0.5375990095273846,1.3882995142112905e-06,0.5375990656839279,0.0,0.0,0.0,16.0,0.6324555320336759
1,triangles rewiring,er,250,0.1,0.0,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.0445973053703372,0.029353248001614225,0.5317681416593139,1.1832366696512344e-06,0.5317682118996181,0.0,0.0,0.0,27.0,6.099180272790763
2,triangles rewiring,er,250,0.1,0.0,0.2,0.8,100000,1.0,0.0,1.0,0.0,1.0,0.0,0.5045898030142394,3.330669073875469e-17,0.5045898030142394,0.0,0.0,0.0,6194.4,6924.907641261362
3,triangles rewiring,er,250,0.1,0.0,0.2,1.2,100000,1.8121781116881803,0.18469864931666288,1.8121781116881803,0.18469864931666288,1.8121781116881803,0.18469864931666288,0.450836469603373,0.2458253619959853,0.3608810315890169,0.6326760106381908,0.06288650008253499,0.2755779811650081,99999.0,0.0
4,triangles rewiring,er,250,0.1,0.0,0.2,1.6,100000,1.8494857346060392,0.07703106436949687,1.8560253809648384,0.07778362626808552,1.8560253809648384,0.07778362626808552,0.492900632696533,0.2267088009362388,0.5817697584051158,0.7143795048208749,0.057794473095959024,0.3111659971517043,99999.0,0.0
5,triangles rewiring,er,250,0.1,0.0,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.1165643836382442,0.113401730582729,0.4907402798836844,1.5898078064398834e-06,0.49074038940803205,0.0,0.0,0.0,17.8,1.16619037896906
6,triangles rewiring,er,250,0.1,0.0,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.1674588722538872,0.19406101306322807,0.5514060916825064,1.4368909203438474e-06,0.5514060528519241,0.0,0.0,0.0,24.0,1.6733200530681511
7,triangles rewiring,er,250,0.1,0.0,0.3,0.8,100000,1.0,0.0,1.0,0.0,1.0,0.0,0.5186758534438652,3.1220014263064127e-07,0.5186758749055891,0.0,0.0,0.0,3383.0,5622.68441227142
8,triangles rewiring,er,250,0.1,0.0,0.3,1.2,100000,1.4723821220972255,0.40851007106835385,1.4723821220972255,0.40851007106835385,1.4723821220972255,0.40851007106835385,0.5027338316836178,0.1214293437763048,0.5922451540177189,0.3750085356280638,0.3100096336899829,0.16334441867612925,65839.2,42807.64722523301
9,triangles rewiring,er,250,0.1,0.0,0.3,1.6,100000,1.2107033370527929,0.31039160100565044,1.2232101088414091,0.31363754000304145,1.2250473997085338,0.3128994667012363,0.4931276447969165,0.09232828508670053,0.4630909556047849,0.2601264835294329,0.2176203887001268,0.11330464562151467,80083.2,39831.600000000006
10,triangles rewiring,er,250,0.1,0.0,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.3579057575983036,0.4420126706147064,0.4894770679392856,1.4503668504425317e-06,0.4894770401758349,0.0,0.0,0.0,16.8,0.7483314773547882
11,triangles rewiring,er,250,0.1,0.0,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.1792133837491927,0.3303392195219661,0.4753948293182588,9.897460890335864e-07,0.4753948849080709,0.0,0.0,0.0,23.4,1.019803902718557
12,triangles rewiring,er,250,0.1,0.0,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.0048386047816862,0.006459585952428681,0.478396018959063,9.241720437081385e-07,0.4783960758340966,0.0,0.0,0.0,100.6,42.83269779035638
13,triangles rewiring,er,250,0.1,0.0,0.4,1.2,100000,1.0096767900110557,0.007901065958382372,1.0129808344747993,0.012195234390370513,1.0211407012524845,0.014255303756822263,0.4853291955439635,0.009291618745596123,0.4848735369309972,0.03504456503421847,0.03140396912053591,0.015264543495483682,298.2,254.98815658771292
