,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
10,triangles rewiring,ba,100,5,0.5,0.4,0.0,100000,38.6,2.615339366124404,10,38.75,0.82915619758885,1.0080319989677753,0.0,0.4854669550753144,0.0182136139742217,0.4850689411587489,0.023470049685057788,0.007823349895019262,0.010249772698752505
11,triangles rewiring,ba,100,5,0.5,0.4,0.4,100000,118.1,55.95971765475591,10,96.25,9.522998477370455,1.00642559917422,0.0032127995871101,0.5103526958297459,0.0094813310746881,0.509797508803578,0.02086226638671803,0.010431133193359017,0.00911090906555778
12,triangles rewiring,ba,100,5,0.5,0.4,0.8,100000,325.7,224.9560179235043,10,250.75,48.73076543622109,1.0104707067596397,0.0037251876846989,0.507752664820932,0.0218151498753977,0.5079093292155898,0.031288580290013704,0.01564027448244961,0.01366425893181992
13,triangles rewiring,ba,100,5,0.5,0.4,1.2,100000,804.2,571.6204684928628,10,670.25,382.863144609141,1.0211309557083064,0.0084626634241953,0.5270120694063098,0.0259672346805185,0.5265279731413823,0.05752269096823357,0.017720550422414945,0.025121144409862208
14,triangles rewiring,ba,100,5,0.5,0.4,1.6,100000,400.4,129.6465965615758,10,377.5,54.59166603063145,1.0194850048196185,0.0083843200725847,0.486393027460455,0.0200202418822439,0.4867787225102121,0.051020888679658274,0.027070520907023134,0.022281695985832954
15,triangles rewiring,ba,100,5,0.4,0.2,0.0,100000,32.3,2.7221315177632404,10,32.2,0.9797958971132712,1.021110488962523,0.008376566572736,0.4231254452977982,0.0360766990400288,0.4220129720047613,0.057904338698348344,0.02665119966737717,0.025287816510567718
16,triangles rewiring,ba,100,5,0.4,0.2,0.4,100000,246.6,255.72141091429947,10,149.5,34.96069221282668,1.031030199847094,0.0049563916354793,0.61923471065963,0.0436729572007046,0.6208022944093404,0.08728299527084113,0.015297884297676975,0.03811797904126204
17,triangles rewiring,ba,100,5,0.4,0.2,0.8,100000,19927.9,30383.534996606304,10,6980.25,8717.124049105874,1.018705034134855,0.0116511785834617,0.5324755668116383,0.0331230042624028,0.5333202038876761,0.04913835216075293,0.03694258957847256,0.021459560043438033
18,triangles rewiring,ba,100,5,0.4,0.2,1.2,100000,80318.3,39364.34949557784,10,99999.0,0.0,1.0975588258791924,0.2307698781793383,0.429529552737746,0.0486808172161172,0.4405152432948839,0.11225062342425773,0.17745366248328345,0.04902176990807135
19,triangles rewiring,ba,100,5,0.4,0.2,1.6,100000,63133.5,45642.80613251118,10,89446.0,25849.46525559088,1.139353955588895,0.2323465404256258,0.5168194862791233,0.0812748472452066,0.5084119603860919,0.1706368677026449,0.19232957654943514,0.07452004283964968
20,triangles rewiring,ba,100,5,0.4,0.3,0.0,100000,31.2,4.044749683231337,10,30.83333333333333,2.114762923408253,1.0,0.0,0.5563482194978306,1.783848054318392e-06,0.556348334603474,0.0,0.0,0.0
21,triangles rewiring,ba,100,5,0.4,0.3,0.4,100000,118.7,81.48012027482532,10,87.0,46.238512086787566,1.0,0.0,0.4767195588193281,7.346826763272262e-07,0.4767195862153853,0.0,0.0,0.0
