,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
12,triangles rewiring,er,100,0.1,0.3,0.35,0.0,1000000,26.8,6.1340579282125045,30,25.266666666666666,2.3795424396766327,1.0,0.0,0.5143765547756839,1.9864963771464654e-06,0.5143766033315489,0.0,0.0,0.0
13,triangles rewiring,er,100,0.1,0.3,0.35,0.5,1000000,189.16666666666663,352.1232817573349,30,66.71428571428571,12.11509431263668,1.0,0.0,0.4789169448910152,1.3436666558704627e-06,0.4789169715933477,0.0,0.0,0.0
14,triangles rewiring,er,100,0.1,0.3,0.35,1.0,1000000,814.7666666666668,1805.4301737320727,30,242.78571428571428,142.69056359400753,1.0053866557845337,0.00893275805604803,0.5116851824938958,0.01020948402548829,0.5118566116594951,0.014933742494625958,0.02476481028523017,0.006506042752079403
15,triangles rewiring,er,100,0.1,0.3,0.35,1.5,1000000,260.8666666666667,407.8456189404134,30,115.0,28.626910416599273,1.0168332993266682,0.0075280803160062484,0.4773347087870674,0.02410380497594456,0.4771632577331222,0.042934509672049655,0.023685993701520944,0.018704872912228294
16,triangles rewiring,er,100,0.1,0.4,0.35,0.0,1000000,30.13333333333333,8.550763448696003,30,26.6,1.743559577416269,1.0127933074882676,0.009734247413353048,0.5063900431411255,0.01749355930585397,0.5061648468802625,0.031734202801080164,0.02775075532248266,0.013825340848168732
17,triangles rewiring,er,100,0.1,0.4,0.35,0.5,1000000,486.26666666666665,1385.1655240038606,30,81.21428571428571,14.833256898067992,1.0,0.0,0.4945039111769112,1.4465215544828434e-06,0.4945039628606069,0.0,0.0,0.0
18,triangles rewiring,er,100,0.1,0.4,0.35,1.0,1000000,1026.8,4088.9499173585714,30,79.5,27.11549372591249,1.0154866353805347,0.008543624950720979,0.5114324532538278,0.026773872876917026,0.5113675013911266,0.042934509672049655,0.023685993701520944,0.018704872912228294
19,triangles rewiring,er,100,0.1,0.4,0.35,1.5,1000000,209206.86666666667,398328.1838992175,30,269.4,422.8225474908672,1.0397060237218352,0.0677445906449305,0.5496712016380771,0.03950506673129637,0.5519264038543458,0.07439483741960078,0.08726896483240494,0.032410897198749525
20,triangles rewiring,er,100,0.1,0.5,0.35,0.0,1000000,36.766666666666666,8.196272865692606,30,36.4375,4.212611274494717,1.0,0.0,0.5142216335576189,2.052936123199446e-06,0.5142215545222285,0.0,0.0,0.0
21,triangles rewiring,er,100,0.1,0.5,0.35,0.5,1000000,490.36666666666673,961.4031233335761,30,137.92857142857142,51.05943915213536,1.0,0.0,0.5038814453836836,1.4527871402012388e-06,0.503881621753128,0.0,0.0,0.0
