,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,rewiring,er,250,0.1,0.0,0.2,0.0,100000,146.5,85.59702097619987,2.1705958619092285,0.4767779590064508,2.170635569897656,0.4767665623898665,2.202777962092062,0.5127694443826016,0.4930259702600173,0.23518942851801156,0.44383409472622376,0.7890398249368161,0.19259879532773114,0.3436861811712157
1,rewiring,er,250,0.1,0.0,0.2,0.4,100000,91.1,32.80990704040473,2.4136871299962106,0.52584504202351,2.413695581990769,0.5258323681862397,2.5421776830988567,0.6197385487884227,0.5036916492923736,0.2409372670546847,0.454999867007939,0.886832556877579,0.2011697926065004,0.38628227014519434
2,rewiring,er,250,0.1,0.0,0.2,0.8,100000,591.7,172.07849952855818,2.2286914710308663,0.3867925549201714,2.229085198579058,0.3866577622239572,2.3647240569708954,0.3829777755121667,0.506752264111878,0.2379294473783017,0.4968064055220928,0.830324589305962,0.15617487051853488,0.3616688007528337
3,rewiring,er,250,0.1,0.0,0.2,1.2,100000,21772.0,6743.142842918278,2.579698918915394,0.4452496799732502,2.645224834567611,0.4712041121736593,2.7426672383301907,0.5554802672805311,0.500606393820149,0.2498305493945545,0.5462553873883194,1.0081765011860138,0.1792965408522521,0.4391366832047103
4,rewiring,er,250,0.1,0.0,0.2,1.6,100000,82898.9,28598.886308561036,7.854710407043058,0.4020840894482087,32.45623982357162,5.061050088056684,64.24501205594402,10.07915423904416,0.4928804496645418,0.2778765670515997,0.486494233089019,2.2201751338739433,0.03801766559646426,0.9670532325203361
5,rewiring,er,250,0.1,0.0,0.3,0.0,100000,219.6,433.3793257643932,1.196316120852536,0.3271008985148419,1.1964716441095191,0.3270564667004873,1.2583796152076123,0.4097505056314678,0.5087319454747387,0.07370352919933917,0.542281092391842,0.19841066478508376,0.23817102388601658,0.08642276540235237
6,rewiring,er,250,0.1,0.0,0.3,0.4,100000,62.6,7.241546796092669,1.3908639933911775,0.4777735296102354,1.3908639933911775,0.4777735296102354,1.5664927940040911,0.536407570599322,0.5072025679371375,0.09555257320700428,0.5023820877192768,0.2772404205700778,0.33438048830048084,0.12075905220583996
7,rewiring,er,250,0.1,0.0,0.3,0.8,100000,710.8,562.7606596058398,1.3955735003532517,0.4501832303057631,1.395661101724316,0.4501195432655193,1.4221595902336148,0.4326360310891621,0.4982703401356643,0.1084393646284432,0.5379126655351424,0.31632431536892136,0.30184549540199634,0.137783027579691
8,rewiring,er,250,0.1,0.0,0.3,1.2,100000,24774.6,6920.313883054727,1.6725528540909418,0.43408780557197024,1.6915189794953889,0.4443197392192373,1.7250457634070049,0.4698664903340754,0.4955531857384165,0.1613105513138961,0.5213184893116575,0.5044331420077746,0.30209356448774843,0.2197185677500274
9,rewiring,er,250,0.1,0.0,0.3,1.6,100000,90490.3,28526.099999999995,8.066213168909018,0.40710091839706825,34.160977238930286,3.335889593993586,66.10479437805033,11.95365475070504,0.4969398287338122,0.27369416735119834,0.4912691438238512,2.2228482704214523,0.03684734230650336,0.9682175845121208
