,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,triangles rewiring,er,250,0.1,0.0,0.2,0.0,100000,16.6,0.9165151389911682,15,1.0,0.0,1.0,0.0,1.0,0.0,0.4882093238488688,1.360222388563685e-06,0.4882092908008971,0.0,0.0,0.0
1,triangles rewiring,er,250,0.1,0.0,0.2,0.4,100000,31.63333333333333,16.055078808761902,15,1.0,0.0,1.0,0.0,1.0,0.0,0.4442455872901265,6.701247065648164e-07,0.4442456008349319,0.0,0.0,0.0
2,triangles rewiring,er,250,0.1,0.0,0.2,0.8,100000,9919.833333333334,10583.807815348038,15,1.0,0.0,1.0,0.0,1.0,0.0,0.5369921314842884,7.123931074678087e-17,0.5369921314842884,0.0,0.0,0.0
3,triangles rewiring,er,250,0.1,0.0,0.2,1.2,100000,85785.6,28390.598433988667,15,1.6162908264679663,0.4437519449196684,1.6162908264679663,0.4437519449196684,1.6162908264679663,0.4437519449196684,0.5121750033291226,0.17127220006944274,0.5138100337819463,0.4511870570833272,0.3106705143315763,0.19754060394254822
4,triangles rewiring,er,250,0.1,0.0,0.2,1.6,100000,81342.36666666668,34956.042465248014,15,1.6411616626932497,0.4047824328689341,1.6411616626932497,0.4047824328689341,1.6411616626932497,0.4047824328689341,0.4732511569435505,0.1690076283087526,0.4871116503723236,0.48048879358505203,0.2923226028829685,0.2103696127411032
5,triangles rewiring,er,250,0.1,0.0,0.3,0.0,100000,16.933333333333334,1.3399834161494522,15,1.0,0.0,1.0,0.0,1.0,0.0,0.48116386489495205,1.3013394455296363e-06,0.4811638589163516,0.0,0.0,0.0
6,triangles rewiring,er,250,0.1,0.0,0.3,0.4,100000,33.7,25.70363139065504,15,1.0,0.0,1.0,0.0,1.0,0.0,0.5263499200083801,7.552369188360932e-07,0.5263498917277238,0.0,0.0,0.0
7,triangles rewiring,er,250,0.1,0.0,0.3,0.8,100000,20524.433333333334,39814.389279658964,15,1.185834287482978,0.3734065043156719,1.185834287482978,0.3734065043156719,1.185834287482978,0.3734065043156719,0.4957923627343061,0.03958064630386735,0.5293755397651676,0.13469935035504463,0.26961100690856005,0.058974632809314434
8,triangles rewiring,er,250,0.1,0.0,0.3,1.2,100000,44832.26666666667,47531.667478943855,15,1.3627998775593957,0.4470085404383195,1.3627998775593957,0.4470085404383195,1.3627998775593957,0.4470085404383195,0.4784540192691705,0.08715240930690607,0.5003932668695089,0.2669788001013845,0.32731169592156933,0.1168897746154634
9,triangles rewiring,er,250,0.1,0.0,0.3,1.6,100000,18603.666666666668,37564.239196637835,15,1.1476349623564326,0.33379154814065504,1.1476349623564326,0.33379154814065504,1.1476349623564326,0.33379154814065504,0.4795744916703376,0.03537288264861328,0.4799073610428466,0.10993658968876388,0.24632782731619024,0.0481328973904758
10,triangles rewiring,er,250,0.1,0.0,0.4,0.0,100000,16.4,0.9865765724632496,15,1.0,0.0,1.0,0.0,1.0,0.0,0.4962434640257293,1.4265503186550233e-06,0.496243451126413,0.0,0.0,0.0
11,triangles rewiring,er,250,0.1,0.0,0.4,0.4,100000,24.2,3.1770006819850285,15,1.0,0.0,1.0,0.0,1.0,0.0,0.4988236341069622,1.0962638787650256e-06,0.4988236275401055,0.0,0.0,0.0
12,triangles rewiring,er,250,0.1,0.0,0.4,0.8,100000,2258.3,11860.700114664394,15,1.0,0.0,1.0,0.0,1.0,0.0,0.5053761081954943,1.0395130886357677e-06,0.5053760965326161,0.0,0.0,0.0
13,triangles rewiring,er,250,0.1,0.0,0.4,1.2,100000,3501.6,17919.332440318936,15,1.0332621433814742,0.17615099627297431,1.0332621433814742,0.17615099627297431,1.0332621433814742,0.17615099627297431,0.4866210198484698,0.009841457499962377,0.4946384989950943,0.024504216689085357,0.12358988113965166,0.010728538613657553
14,triangles rewiring,er,250,0.1,0.0,0.4,1.6,100000,347.03333333333336,278.8669316278923,15,1.0,0.0,1.0005375994450587,0.002895061611864816,1.0005375994450587,0.002895061611864816,0.4935325624182617,9.660250126151416e-05,0.4935239461317679,0.0015531474740701522,0.008363955117652434,0.0006800055214859547
15,triangles rewiring,er,250,0.1,0.1,0.2,0.0,100000,15.833333333333336,0.9689627902499092,15,1.0,0.0,1.0,0.0,1.0,0.0,0.5427603337806937,1.498070266747296e-06,0.5427603234472689,0.0,0.0,0.0
16,triangles rewiring,er,250,0.1,0.1,0.2,0.4,100000,33.8,24.315153025771128,15,1.0,0.0,1.0,0.0,1.0,0.0,0.4821857443530073,6.483675906179822e-07,0.4821857364672723,0.0,0.0,0.0
17,triangles rewiring,er,250,0.1,0.1,0.2,0.8,100000,17256.533333333333,20885.427364126936,15,1.0322586738870347,0.1737182753412887,1.0322586738870347,0.1737182753412887,1.0322586738870347,0.1737182753412887,0.522263242108862,0.007310101805015845,0.5286904891487624,0.022831088767901762,0.12294917574146848,0.009996002751125692
