,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,rewiring,er,100,0.1,0.0,0.35,0.0,1000000,42.63333333333333,6.848276344372276,30,41.4,2.1228911104120867,1.0358647943737755,0.04293912514074729,0.5048306159882785,0.04738039623529992,0.5071306829507275,0.08454791260410488,0.08722583423773626,0.036834191710438814
1,rewiring,er,100,0.1,0.0,0.35,0.5,1000000,148.5,61.1935454112605,30,131.64285714285714,7.649529797474416,1.0861091457016052,0.2006617695593088,0.4986527081294807,0.049227607491184086,0.5093924940860173,0.11074563523369209,0.17491906095410337,0.04824750645699669
2,rewiring,er,100,0.1,0.0,0.35,1.0,1000000,8615.533333333333,2535.34905858915,30,8622.785714285714,1354.5394672608645,1.4109692608397648,0.4334162190424693,0.4970569360197342,0.12528949777931436,0.4646685679613995,0.37464016736866435,0.2931239135197744,0.16321594847532978
3,rewiring,er,100,0.1,0.0,0.35,1.5,1000000,2766.633333333333,2816.9082991030355,30,2001.8666666666666,1209.5622275113512,24.240903802933715,2.7974120237325137,0.4884118405385908,0.2742890931344833,0.4738716713124002,2.1888600811914056,0.05433573776898248,0.953600028370381
4,rewiring,er,100,0.1,0.1,0.35,0.0,1000000,296.8333333333333,200.93549268912705,30,258.2142857142857,73.45569954685863,1.1220253915083631,0.2039034275808232,0.5004186021279315,0.07205242972261909,0.4989947759924339,0.1863341331967797,0.1520604031430116,0.08117843448728025
5,rewiring,er,100,0.1,0.1,0.35,0.5,1000000,749.0333333333333,1305.6234394171836,30,316.0,124.33365249544123,1.027872722413545,0.041750808700799266,0.5004754223716528,0.028347035013561,0.5021847709532954,0.05717627229392549,0.08186179923160603,0.0249094473192287
6,rewiring,er,100,0.1,0.1,0.35,1.0,1000000,10702.466666666667,4094.5435865578734,30,9882.92857142857,1157.0297850398615,1.212560082402937,0.35002198173719035,0.5027857364840926,0.07461709473860978,0.500626886144521,0.20963290846604335,0.250913902710547,0.09132879217742176
7,rewiring,er,100,0.1,0.1,0.35,1.5,1000000,3066.666666666666,3453.256273271489,30,1977.357142857143,1194.2734555932716,24.19081699306723,2.178073863100051,0.5027763110488734,0.2700589822825287,0.5068356481684593,2.181392549305305,0.058174255517550656,0.9503467191800712
8,rewiring,er,100,0.1,0.2,0.35,0.0,1000000,149.4,113.1463948460872,30,121.0,40.24212434040444,1.090694523637235,0.07895375411898221,0.504676908292528,0.06968664494558148,0.5069379669792939,0.1880795167559048,0.09401526119230655,0.08193882928172183
9,rewiring,er,100,0.1,0.2,0.35,0.5,1000000,1655.2,3433.2892722091833,30,218.92857142857144,85.70752949563357,1.0904268509831476,0.22192291935000968,0.4974414429040535,0.047402300987464965,0.506590302495002,0.10787961677528587,0.17245911126183455,0.04699889522472523
10,rewiring,er,100,0.1,0.2,0.35,1.0,1000000,8319.7,3568.8732689743965,30,7608.071428571428,868.9998737699823,1.362732683084931,0.4269613618577301,0.5037499259990033,0.10967865902405018,0.5050898018015276,0.3286018010878327,0.3009099888809069,0.14315884762691425
11,rewiring,er,100,0.1,0.2,0.35,1.5,1000000,4251.733333333334,3665.924475793551,30,3672.642857142857,1600.9079837545255,23.694138966616716,2.8600350601693396,0.4957466217559608,0.2757613676906919,0.4993970432526375,2.158010958403055,0.07051989252118097,0.9401602819841431
12,rewiring,er,100,0.1,0.3,0.35,0.0,1000000,120.23333333333332,96.91669389509504,30,93.64285714285714,22.01170838718452,1.1032854195268156,0.1583236456401328,0.4964455909013994,0.07253273558108095,0.5060691865368189,0.17162519736138176,0.13531372058955687,0.07477033113226868
13,rewiring,er,100,0.1,0.3,0.35,0.5,1000000,1328.3,2327.9314730750416,30,523.0714285714286,458.05153551066,1.0505743310349038,0.1384010041478225,0.4984242568618991,0.037152169823953016,0.4941763596137485,0.07417589112922364,0.1223054085956561,0.032315510933309664
14,rewiring,er,100,0.1,0.3,0.35,1.0,1000000,9552.733333333334,3379.9243870569385,30,9140.357142857143,1400.4357284759046,1.2845020116306445,0.3940330217260952,0.5104076334981859,0.08762149553805261,0.5338289248276756,0.25296609306221896,0.28283802121466395,0.11020735203392935
15,rewiring,er,100,0.1,0.3,0.35,1.5,1000000,3116.833333333333,4067.352456519543,30,1794.9285714285709,1115.1493470950563,24.592958003066787,2.4846290311378434,0.4906985946938267,0.27362404268621515,0.4766615498454874,2.1849056050966036,0.0593719887595421,0.9518772190649362
16,rewiring,er,100,0.1,0.4,0.35,0.0,1000000,64.66666666666667,23.52351069792848,30,58.57142857142857,10.237984495525096,1.0680610111584072,0.1657044069749859,0.4954814200326024,0.04922286045607165,0.4891522749694503,0.10697052539459848,0.12847838953896154,0.04660283995656807
17,rewiring,er,100,0.1,0.4,0.35,0.5,1000000,830.1666666666665,1685.2320331501996,30,204.64285714285717,70.97444926858954,1.0401352241491948,0.1454383052540019,0.5013412191626329,0.02527491759102728,0.4950950501885337,0.052167195131743144,0.12048318287587204,0.02272718991273127
18,rewiring,er,100,0.1,0.4,0.35,1.0,1000000,8767.266666666666,3766.426935733949,30,7650.428571428572,916.966872301262,1.2918284476088169,0.3602852049693276,0.4984023265845793,0.09653168903721702,0.4949924802749938,0.29690820288387004,0.27035151891998627,0.12935119660062858
