,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,triangles rewiring,er,250,0.1,0.0,0.2,0.0,100000,16.6,0.9165151389911682,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4882093238488688,1.360222388563685e-06,0.4882092908008971,0.0,0.0,0.0
1,triangles rewiring,er,250,0.1,0.0,0.2,0.4,100000,31.63333333333333,16.055078808761902,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4442455872901265,6.701247065648164e-07,0.4442456008349319,0.0,0.0,0.0
2,triangles rewiring,er,250,0.1,0.0,0.2,0.8,100000,9919.833333333334,10583.807815348038,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5369921314842884,7.123931074678087e-17,0.5369921314842884,0.0,0.0,0.0
3,triangles rewiring,er,250,0.1,0.0,0.2,1.2,100000,85785.6,28390.598433988667,30,1.6162908264679663,0.4437519449196684,1.6162908264679663,0.4437519449196684,1.6162908264679663,0.4437519449196684,0.5121750033291226,0.17127220006944274,0.5138100337819463,0.4511870570833272,0.3106705143315763,0.19919556855088957
4,triangles rewiring,er,250,0.1,0.0,0.2,1.6,100000,81342.36666666668,34956.042465248014,30,1.6411616626932497,0.4047824328689341,1.6411616626932497,0.4047824328689341,1.6411616626932497,0.4047824328689341,0.4732511569435505,0.1690076283087526,0.4871116503723236,0.48048879358505203,0.2923226028829685,0.2121320567997346
5,triangles rewiring,er,250,0.1,0.0,0.3,0.0,100000,16.933333333333334,1.3399834161494522,30,1.0,0.0,1.0,0.0,1.0,0.0,0.48116386489495205,1.3013394455296363e-06,0.4811638589163516,0.0,0.0,0.0
6,triangles rewiring,er,250,0.1,0.0,0.3,0.4,100000,33.7,25.70363139065504,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5263499200083801,7.552369188360932e-07,0.5263498917277238,0.0,0.0,0.0
7,triangles rewiring,er,250,0.1,0.0,0.3,0.8,100000,20524.433333333334,39814.389279658964,30,1.185834287482978,0.3734065043156719,1.185834287482978,0.3734065043156719,1.185834287482978,0.3734065043156719,0.4957923627343061,0.03958064630386735,0.5293755397651676,0.13469935035504463,0.26961100690856005,0.05946871315604522
8,triangles rewiring,er,250,0.1,0.0,0.3,1.2,100000,44832.26666666667,47531.667478943855,30,1.3627998775593957,0.4470085404383195,1.3627998775593957,0.4470085404383195,1.3627998775593957,0.4470085404383195,0.4784540192691705,0.08715240930690607,0.5003932668695089,0.2669788001013845,0.32731169592156933,0.11786905905726786
9,triangles rewiring,er,250,0.1,0.0,0.3,1.6,100000,18603.666666666668,37564.239196637835,30,1.1476349623564326,0.33379154814065504,1.1476349623564326,0.33379154814065504,1.1476349623564326,0.33379154814065504,0.4795744916703376,0.03537288264861328,0.4799073610428466,0.10993658968876388,0.24632782731619024,0.048536147355740314
10,triangles rewiring,er,250,0.1,0.0,0.4,0.0,100000,16.4,0.9865765724632496,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4962434640257293,1.4265503186550233e-06,0.496243451126413,0.0,0.0,0.0
11,triangles rewiring,er,250,0.1,0.0,0.4,0.4,100000,24.2,3.1770006819850285,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4988236341069622,1.0962638787650256e-06,0.4988236275401055,0.0,0.0,0.0
12,triangles rewiring,er,250,0.1,0.0,0.4,0.8,100000,2258.3,11860.700114664394,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5053761081954943,1.0395130886357677e-06,0.5053760965326161,0.0,0.0,0.0
13,triangles rewiring,er,250,0.1,0.0,0.4,1.2,100000,3501.6,17919.332440318936,30,1.0332621433814742,0.17615099627297431,1.0332621433814742,0.17615099627297431,1.0332621433814742,0.17615099627297431,0.4866210198484698,0.009841457499962377,0.4946384989950943,0.024504216689085357,0.12358988113965166,0.010818420649808414
14,triangles rewiring,er,250,0.1,0.0,0.4,1.6,100000,347.03333333333336,278.8669316278923,30,1.0,0.0,1.0005375994450587,0.002895061611864816,1.0005375994450587,0.002895061611864816,0.4935325624182617,9.660250126151416e-05,0.4935239461317679,0.0015531474740701522,0.008363955117652434,0.0006857025025069465
15,triangles rewiring,er,250,0.1,0.1,0.2,0.0,100000,15.833333333333336,0.9689627902499092,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5427603337806937,1.498070266747296e-06,0.5427603234472689,0.0,0.0,0.0
16,triangles rewiring,er,250,0.1,0.1,0.2,0.4,100000,33.8,24.315153025771128,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4821857443530073,6.483675906179822e-07,0.4821857364672723,0.0,0.0,0.0
17,triangles rewiring,er,250,0.1,0.1,0.2,0.8,100000,17256.533333333333,20885.427364126936,30,1.0322586738870347,0.1737182753412887,1.0322586738870347,0.1737182753412887,1.0322586738870347,0.1737182753412887,0.522263242108862,0.007310101805015845,0.5286904891487624,0.022831088767901762,0.12294917574146848,0.010079747715187902
18,triangles rewiring,er,250,0.1,0.1,0.2,1.2,100000,16264.1,13877.491106944846,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5053247489297276,7.494005416219807e-17,0.5053247489297276,0.0,0.0,0.0
19,triangles rewiring,er,250,0.1,0.1,0.2,1.6,100000,12405.333333333336,14975.994901471116,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5361169412414639,8.326672684688674e-17,0.5361169412414639,0.0,0.0,0.0
20,triangles rewiring,er,250,0.1,0.1,0.3,0.0,100000,16.433333333333334,1.430229196861662,30,1.0,0.0,1.0,0.0,1.0,0.0,0.500945258057172,1.4060608453614096e-06,0.5009452836116074,0.0,0.0,0.0
21,triangles rewiring,er,250,0.1,0.1,0.3,0.4,100000,24.6,5.776965754903983,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4647157829202409,1.0995409816826382e-06,0.4647157759415211,0.0,0.0,0.0
22,triangles rewiring,er,250,0.1,0.1,0.3,0.8,100000,3158.2,6385.666341633163,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4729243738233734,9.22877915414718e-07,0.4729243607264307,0.0,0.0,0.0
23,triangles rewiring,er,250,0.1,0.1,0.3,1.2,100000,8841.366666666667,16471.698025164933,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5353723623248187,5.9105505449054e-07,0.535372330723456,0.0,0.0,0.0
24,triangles rewiring,er,250,0.1,0.1,0.3,1.6,100000,9771.666666666666,20234.73358416716,30,1.0005375994450587,0.0028950616118648144,1.0005375994450587,0.0028950616118648144,1.0005375994450587,0.0028950616118648144,0.4965944446064112,0.0013159809600391322,0.4967126196051781,0.0015531474740701522,0.008363955117652432,0.0006857025025069465
25,triangles rewiring,er,250,0.1,0.1,0.4,0.0,100000,15.866666666666667,1.087300428686673,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4988030401773499,1.2129542060077463e-06,0.4988030618333206,0.0,0.0,0.0
26,triangles rewiring,er,250,0.1,0.1,0.4,0.4,100000,21.7,1.5307950004273383,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5053952660504797,1.0791013039292177e-06,0.5053952996890543,0.0,0.0,0.0
27,triangles rewiring,er,250,0.1,0.1,0.4,0.8,100000,304.1333333333333,1446.0259733336588,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5096901753459264,1.1915545700327282e-06,0.5096901365978976,0.0,0.0,0.0
28,triangles rewiring,er,250,0.1,0.1,0.4,1.2,100000,4512.4,11955.592648352207,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4510040736652631,7.880519723004381e-07,0.45100408011132204,0.0,0.0,0.0
29,triangles rewiring,er,250,0.1,0.1,0.4,1.6,100000,229.56666666666663,882.6252388314205,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5024330301946189,1.1070339580823685e-06,0.5024330422075595,0.0,0.0,0.0
30,triangles rewiring,er,250,0.1,0.2,0.2,0.0,100000,15.5,0.9916316520429008,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5154621171384284,1.4198047508008184e-06,0.5154621282655819,0.0,0.0,0.0
31,triangles rewiring,er,250,0.1,0.2,0.2,0.4,100000,35.0,29.54431699441818,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5170296676007026,6.721245032532197e-07,0.5170296576373428,0.0,0.0,0.0
32,triangles rewiring,er,250,0.1,0.2,0.2,0.8,100000,936.8666666666667,1103.629519157383,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5816748221133017,1.2240832061075752e-07,0.5816748184183179,0.0,0.0,0.0
33,triangles rewiring,er,250,0.1,0.2,0.2,1.2,100000,6021.4333333333325,9756.47027595306,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4342404629607952,1.5956646455817007e-07,0.4342404858967495,0.0,0.0,0.0
34,triangles rewiring,er,250,0.1,0.2,0.2,1.6,100000,26649.266666666666,36605.777773400136,30,1.0018783987868949,0.004501522913289211,1.0018783987868949,0.004501522913289211,1.0018783987868949,0.004501522913289211,0.5055184908658126,0.006406487048574157,0.5057229697949761,0.005714078246480059,0.01341978657344187,0.0025227210027029966
35,triangles rewiring,er,250,0.1,0.2,0.3,0.0,100000,15.566666666666665,1.2297244497131143,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5230653070482977,1.576146939774959e-06,0.5230652994522619,0.0,0.0,0.0
36,triangles rewiring,er,250,0.1,0.2,0.3,0.4,100000,27.4,27.88739261147708,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4833547170236245,1.2836658504842664e-06,0.4833546789041778,0.0,0.0,0.0
37,triangles rewiring,er,250,0.1,0.2,0.3,0.8,100000,412.1,588.5164030565901,30,1.0,0.0,1.0,0.0,1.0,0.0,0.525476254908716,7.179021368489294e-07,0.5254763050799832,0.0,0.0,0.0
38,triangles rewiring,er,250,0.1,0.2,0.3,1.2,100000,905.7666666666668,2831.5777425707784,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5051420437152178,8.503425604442713e-07,0.5051420114813034,0.0,0.0,0.0
39,triangles rewiring,er,250,0.1,0.2,0.3,1.6,100000,25751.5,40597.766747076115,30,1.1813677534971518,0.3683974730853599,1.1836028416776951,0.37076942258972206,1.1836028416776951,0.37076942258972206,0.5335194073508507,0.04573245654588472,0.517621438297706,0.14538824490126243,0.2820899477937055,0.06418777677475432
40,triangles rewiring,er,250,0.1,0.2,0.4,0.0,100000,15.766666666666667,1.382831234179436,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5049024108445361,1.414720374127773e-06,0.504902405342721,0.0,0.0,0.0
41,triangles rewiring,er,250,0.1,0.2,0.4,0.4,100000,22.23333333333333,1.9439364415764442,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5098493555332786,1.2990589459991044e-06,0.5098493204241159,0.0,0.0,0.0
42,triangles rewiring,er,250,0.1,0.2,0.4,0.8,100000,66.33333333333333,61.5501602128071,30,1.0,0.0,1.0,0.0,1.0,0.0,0.520215189365094,1.0634021917508056e-06,0.5202151708775999,0.0,0.0,0.0
43,triangles rewiring,er,250,0.1,0.2,0.4,1.2,100000,263.6666666666667,274.8413279613449,30,1.0021503977802346,0.005482460121701292,1.0032386713025838,0.007728050567672072,1.0032386713025838,0.007728050567672072,0.4885700016627332,0.0031718947673662267,0.4883370627544724,0.007763586809405201,0.021116394768244725,0.0034275630566415975
44,triangles rewiring,er,250,0.1,0.2,0.4,1.6,100000,3780.0,17873.48079324972,30,1.0068427562294362,0.01646794034842195,1.0085636074546172,0.020185123022918573,1.0085684635891454,0.020199138709623258,0.4990848437907484,0.008062000760812845,0.4982206022497969,0.019446700231976085,0.04753277991022521,0.008585566558997683
45,triangles rewiring,er,250,0.1,0.3,0.2,0.0,100000,16.233333333333334,1.5423647068345696,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5102065112655774,1.4288868886490969e-06,0.5102065424051193,0.0,0.0,0.0
46,triangles rewiring,er,250,0.1,0.3,0.2,0.4,100000,38.3,29.825213047576593,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5115412296298186,6.755121778578619e-07,0.5115412240362268,0.0,0.0,0.0
47,triangles rewiring,er,250,0.1,0.3,0.2,0.8,100000,26930.9,37590.55923619653,30,1.1783351320754154,0.3585386435210689,1.1783351320754154,0.3585386435210689,1.1783351320754154,0.3585386435210689,0.4459382197984427,0.04592266832924762,0.4665780581843997,0.13261070718799325,0.2654223983898144,0.058546593479451986
48,triangles rewiring,er,250,0.1,0.3,0.2,1.2,100000,53265.03333333333,44787.10786932874,30,1.3821073263248609,0.4266383435916463,1.3821073263248609,0.4266383435916463,1.3821073263248609,0.4266383435916463,0.5110557151086563,0.10421017995767737,0.5320709612742326,0.29622375935122197,0.31976435494468375,0.13078048059200195
49,triangles rewiring,er,250,0.1,0.3,0.2,1.6,100000,54144.5,44380.843723953694,30,1.4869109642067315,0.5819874038833937,1.4869109642067315,0.5819874038833937,1.4869109642067315,0.5819874038833937,0.5260165549388162,0.11176710283463588,0.5421154690257173,0.340785892422418,0.3814144215504258,0.15045431496646172
50,triangles rewiring,er,250,0.1,0.3,0.3,0.0,100000,16.066666666666666,1.1813363431112902,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5121539018951125,1.37224938239169e-06,0.5121539149584258,0.0,0.0,0.0
51,triangles rewiring,er,250,0.1,0.3,0.3,0.4,100000,24.93333333333333,5.039400317057137,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5077190170339316,1.022770511634543e-06,0.5077189996574767,0.0,0.0,0.0
52,triangles rewiring,er,250,0.1,0.3,0.3,0.8,100000,15229.933333333332,30694.834083206177,30,1.063657606359847,0.2382429509317136,1.063657606359847,0.2382429509317136,1.063657606359847,0.2382429509317136,0.5148504315651862,0.015760333077449975,0.5145508514696828,0.04543281152109377,0.16999966886853163,0.020058232122864915
53,triangles rewiring,er,250,0.1,0.3,0.3,1.2,100000,21969.933333333334,39480.39680308303,30,1.1692284535428237,0.34518581472917903,1.1692284535428237,0.34518581472917903,1.1692284535428237,0.34518581472917903,0.4675320751055579,0.04112783410969914,0.4797200273939651,0.12917888578246065,0.25935214336095436,0.05703147108108512
54,triangles rewiring,er,250,0.1,0.3,0.3,1.6,100000,21613.233333333334,39417.934053493416,30,1.183137014251648,0.370081543001162,1.183137014251648,0.370081543001162,1.183137014251648,0.370081543001162,0.4923887836683064,0.04634902018551176,0.5194245485882764,0.1348389125477003,0.2666713978446829,0.05953032877616954
55,triangles rewiring,er,250,0.1,0.3,0.4,0.0,100000,16.066666666666666,1.1813363431112902,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4864774353292728,1.2337434152602498e-06,0.4864774038190997,0.0,0.0,0.0
56,triangles rewiring,er,250,0.1,0.3,0.4,0.4,100000,22.53333333333333,2.0612833111653743,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4984835743933623,1.2453473574485051e-06,0.4984835733766725,0.0,0.0,0.0
57,triangles rewiring,er,250,0.1,0.3,0.4,0.8,100000,1437.3666666666666,5432.476467096342,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5234602317779565,9.139526648288292e-07,0.5234601846781272,0.0,0.0,0.0
58,triangles rewiring,er,250,0.1,0.3,0.4,1.2,100000,1917.5666666666666,9358.562993976275,30,1.0005354665978516,0.0020035325512224728,1.0005354665978516,0.0020035325512224728,1.0005354665978516,0.0020035325512224728,0.5202925692601489,0.0006926231669558088,0.5202986057327259,0.0017385221988931692,0.006504954427559103,0.0007675439984594024
59,triangles rewiring,er,250,0.1,0.3,0.4,1.6,100000,255.3,201.6070683284691,30,1.0,0.0,1.0010730660429104,0.003437992339810595,1.0010730660429104,0.003437992339810595,0.5024889416004223,0.00016449099616343282,0.5024885227796134,0.0008692610994465846,0.004681114280950794,0.0003837719992297012
60,triangles rewiring,er,250,0.1,0.4,0.2,0.0,100000,16.033333333333335,1.1396880664852511,30,1.0,0.0,1.0,0.0,1.0,0.0,0.5368934408137808,1.2857564632715844e-06,0.5368934612594811,0.0,0.0,0.0
61,triangles rewiring,er,250,0.1,0.4,0.2,0.4,100000,27.066666666666666,8.286267086102296,30,1.0,0.0,1.0,0.0,1.0,0.0,0.4433567864124994,9.257102680298992e-07,0.44335676943797375,0.0,0.0,0.0
